Cog2000 log file Tue Feb 05 16:10:49 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
792913,[3067],:,trigger 790181,,,,
792913,[0],:,trigger 792581,,,,
792948,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_2.bmp 792948,,,,
793448,[500],:,image croix 793448,,,,
798615,[5167],:,bouton_1 525,,,,
798615,[0],:,trigger 794981,,,,
798615,[0],:,trigger 797381,,,,
798650,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.bmp 798650,,,,
799150,[500],:,image croix 799150,,,,
802317,[3167],:,bouton_1 360,,,,
802317,[0],:,trigger 799781,,,,
802317,[0],:,trigger 802181,,,,
802351,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.bmp 802351,,,,
802851,[500],:,image croix 802851,,,,
809118,[6267],:,bouton_1 236,,,,
809118,[0],:,trigger 804581,,,,
809118,[0],:,trigger 806981,,,,
809154,[36],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_2.bmp 809154,,,,
809621,[467],:,trigger 809380,,,,
809654,[33],:,image croix 809654,,,,
813621,[3967],:,trigger 811781,,,,
813639,[18],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_6.bmp 813639,,,,
814139,[500],:,image croix 814139,,,,
816806,[2667],:,trigger 814181,,,,
816806,[0],:,bouton_1 391,,,,
816806,[0],:,trigger 816582,,,,
816840,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.bmp 816840,,,,
817340,[500],:,image croix 817340,,,,
822407,[5067],:,bouton_1 252,,,,
822407,[0],:,trigger 818980,,,,
822407,[0],:,trigger 821381,,,,
822443,[36],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_7.bmp 822443,,,,
822943,[500],:,image croix 822943,,,,
826410,[3467],:,bouton_1 104,,,,
826410,[0],:,trigger 823781,,,,
826410,[0],:,bouton_1 838,,,,
826413,[3],:,trigger 826181,,,,
826444,[31],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_5.bmp 826444,,,,
826945,[501],:,image croix 826945,,,,
833012,[6067],:,trigger 828581,,,,
833012,[0],:,trigger 830981,,,,
833047,[35],:,image nostim.bmp 833046,,,,
833513,[466],:,trigger 833382,,,,
833547,[34],:,image croix 833547,,,,
837614,[4067],:,trigger 835781,,,,
837649,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_5.bmp 837649,,,,
838149,[500],:,image croix 838149,,,,
842216,[4067],:,trigger 838181,,,,
842216,[0],:,bouton_1 221,,,,
842216,[0],:,trigger 840581,,,,
842250,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_7.bmp 842250,,,,
842750,[500],:,image croix 842750,,,,
846717,[3967],:,bouton_1 61,,,,
846717,[0],:,trigger 842981,,,,
846717,[0],:,trigger 845380,,,,
846752,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.bmp 846752,,,,
847252,[500],:,image croix 847252,,,,
850419,[3167],:,trigger 847781,,,,
850419,[0],:,trigger 850181,,,,
850454,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.bmp 850454,,,,
850955,[501],:,image croix 850954,,,,
